Name,Estado,Cidade,Segmento,Público Alvo,Modelo de Receita,Ano de Fundação,Tamanho,Mais Informação,Momento
Bnboats,SP,SÃO PAULO,Eventos e Turismo,P2P,Marketplace,2015,6-10,sbase.me/s/bnboats,Tração
Quinto,SP,SOROCABA,Comunicação e Mídia,B2B2C,Venda de dados,2017,6-10,sbase.me/s/quinto,Tração
Digital Comics,SP,SÃO PAULO,Comunicação e Mídia,B2C,Outros,2015,1-5,sbase.me/s/digital-comics,Ideação
Vovier Publicidade e Marketing Digital,SP,ATIBAIA,Advertising,B2B,Outros,2017,6-10,sbase.me/s/vovier-publicidade-e-marketing-digital,Tração
Numenu,SP,SÃO PAULO,Logística e Mobilidade Urbana,B2B2C,Marketplace,2017,6-10,sbase.me/s/numenu,Tração
Kondado,SP,SÃO PAULO,Big Data,B2B,SaaS,2018,6-10,sbase.me/s/kondado,Tração
Food Finder,SP,SÃO PAULO,Indústria,B2B,Marketplace,2017,6-10,sbase.me/s/food-finder,Operação
FATECOINS,SP,GUARATINGUETÁ,Educação,B2B2C,Marketplace,2019,21-50,sbase.me/s/fatecoins,Tração
NFV,SP,SÃO PAULO,Meio Ambiente,B2C,Consumer,2017,6-10,sbase.me/s/nfv,Operação
Pladonto,SP,SÃO PAULO,Saúde e Bem-estar,B2B2C,SaaS,2018,6-10,sbase.me/s/pladonto,Operação
Tuia Seguros,SP,SÃO PAULO,Seguros,B2B,Marketplace,2018,21-50,sbase.me/s/tuia-seguros,Tração
Shelfpix,SP,SÃO PAULO,Varejo / Atacado,B2B,SaaS,2011,6-10,sbase.me/s/shelfpix,Tração
Milênio Bus,SP,SÃO PAULO,Logística e Mobilidade Urbana,B2B,SaaS,2016,6-10,sbase.me/s/milenio-bus,Tração
Portal Telemedicina,SP,SÃO PAULO,Saúde e Bem-estar,B2B,SaaS,2012,6-10,sbase.me/s/portal-telemedicina,Tração
Boletão,SP,SÃO PAULO,Finanças,B2B,SaaS,2015,6-10,sbase.me/s/boletao,Tração
Ewally,SP,SÃO PAULO,Finanças,B2B,SaaS,2015,6-10,sbase.me/s/ewally,Tração
XMultas,SP,SÃO PAULO,Automobilismo,B2B,SaaS,2014,6-10,sbase.me/s/xmultas,Tração
CockpIT Empresarial,SP,PRESIDENTE PRUDENTE,TIC e Telecom,B2B,Marketplace,2016,1-5,sbase.me/s/cockpit-empresarial,Ideação
Mirago,SP,SÃO PAULO,Educação,B2B2C,Consumer,2018,6-10,sbase.me/s/mirago,Operação
Kmaleon,SP,SÃO JOSÉ DOS CAMPOS,Vendas e Marketing,B2B,Outros,2018,6-10,sbase.me/s/kmaleon,Tração
NaRadio.com.br,SP,CAMPINAS,Entretenimento,B2B,SaaS,2017,6-10,sbase.me/s/naradiocombr,Tração
byAA,SP,SÃO PAULO,Serviços Profissionais,B2B2C,Outros,2017,6-10,sbase.me/s/byaa,Operação
Pedidos Digitais,SP,RIBEIRÃO PRETO,Indústria,B2B,SaaS,2016,6-10,sbase.me/s/pedidos-digitais,Operação
